lottery_id,draw_date,draw_number,round,main_1,main_2,main_3,main_4,main_5,main_6,bonus_1
ca_lotto_649,2026-07-04,,1,4,5,27,29,38,47,35
ca_lotto_649,2026-07-01,,1,3,10,14,20,30,45,8
ca_lotto_649,2026-06-27,,1,14,22,27,29,37,46,20
ca_lotto_649,2026-06-24,,1,9,20,28,29,36,42,1
ca_lotto_649,2026-06-20,,1,9,15,26,27,35,42,17
ca_lotto_649,2026-06-17,,1,2,14,23,26,42,48,25
ca_lotto_649,2026-06-13,,1,1,5,9,17,36,46,12
ca_lotto_649,2026-06-10,,1,4,9,33,39,40,48,1
ca_lotto_649,2026-06-06,,1,9,27,30,33,45,47,20
ca_lotto_649,2026-06-03,,1,3,5,6,28,30,37,19
ca_lotto_649,2026-05-30,,1,4,6,10,21,33,39,32
ca_lotto_649,2026-05-27,,1,5,27,35,38,44,46,3
ca_lotto_649,2026-05-23,,1,3,16,27,30,36,42,1
ca_lotto_649,2026-05-20,,1,4,13,14,20,22,47,10
ca_lotto_649,2026-05-16,,1,5,34,36,41,44,45,10
ca_lotto_649,2026-05-13,,1,1,42,43,44,46,48,29
ca_lotto_649,2026-05-09,,1,13,15,21,28,34,40,45
ca_lotto_649,2026-05-06,,1,2,9,35,42,43,47,17
ca_lotto_649,2026-05-02,,1,10,14,19,28,38,44,40
ca_lotto_649,2026-04-29,,1,6,19,23,31,47,49,45
ca_lotto_649,2026-04-25,,1,14,23,25,28,33,39,32
ca_lotto_649,2026-04-22,,1,7,11,13,30,37,49,42
ca_lotto_649,2026-04-18,,1,27,30,32,35,37,45,7
ca_lotto_649,2026-04-15,,1,10,13,15,26,34,36,8
ca_lotto_649,2026-04-11,,1,4,22,28,29,39,41,46
ca_lotto_649,2026-04-08,,1,9,14,41,44,48,49,8
ca_lotto_649,2026-04-04,,1,10,21,24,30,36,38,41
ca_lotto_649,2026-04-01,,1,16,24,28,34,46,49,22
ca_lotto_649,2026-03-28,,1,10,11,25,35,37,42,36
ca_lotto_649,2026-03-25,,1,20,23,25,28,40,45,44
ca_lotto_649,2026-03-21,,1,2,16,18,37,39,41,47
ca_lotto_649,2026-03-18,,1,3,21,25,26,35,44,22
ca_lotto_649,2026-03-14,,1,9,15,16,20,38,45,10
ca_lotto_649,2026-03-11,,1,5,6,8,14,16,39,11
ca_lotto_649,2026-03-07,,1,16,20,32,42,43,46,31
ca_lotto_649,2026-03-04,,1,2,18,30,39,40,44,28
ca_lotto_649,2026-02-28,,1,15,18,24,36,39,40,9
ca_lotto_649,2026-02-25,,1,17,24,32,37,46,49,43
ca_lotto_649,2026-02-21,,1,3,9,30,33,37,43,49
ca_lotto_649,2026-02-18,,1,5,6,16,17,33,44,29
ca_lotto_649,2026-02-14,,1,1,4,15,29,35,44,27
ca_lotto_649,2026-02-11,,1,25,28,32,40,42,43,16
ca_lotto_649,2026-02-07,,1,16,23,30,43,46,48,10
ca_lotto_649,2026-02-04,,1,3,4,9,15,27,49,6
ca_lotto_649,2026-01-31,,1,1,7,21,33,41,47,43
ca_lotto_649,2026-01-28,,1,8,15,44,45,48,49,7
ca_lotto_649,2026-01-24,,1,9,13,15,28,41,49,43
ca_lotto_649,2026-01-21,,1,4,13,21,27,34,39,36
ca_lotto_649,2026-01-17,,1,10,12,15,33,34,45,8
ca_lotto_649,2026-01-14,,1,9,12,23,28,33,47,15
ca_lotto_649,2026-01-10,,1,16,19,26,31,47,49,46
ca_lotto_649,2026-01-07,,1,3,9,10,11,14,24,5
ca_lotto_649,2026-01-03,,1,3,12,16,21,22,41,37
ca_lotto_649,2025-12-31,,1,1,6,10,21,39,40,28
ca_lotto_649,2025-12-27,,1,2,8,23,28,29,36,13
ca_lotto_649,2025-12-24,,1,2,19,20,22,42,47,35
ca_lotto_649,2025-12-20,,1,13,22,24,28,29,46,16
ca_lotto_649,2025-12-17,,1,8,17,35,36,37,45,32
ca_lotto_649,2025-12-13,,1,13,14,21,23,26,49,41
ca_lotto_649,2025-12-10,,1,9,11,13,30,40,43,21
ca_lotto_649,2025-12-06,,1,9,11,15,38,39,44,21
ca_lotto_649,2025-12-03,,1,1,3,13,25,38,49,6
ca_lotto_649,2025-11-29,,1,5,6,9,29,42,45,2
ca_lotto_649,2025-11-26,,1,11,23,28,30,44,45,42
ca_lotto_649,2025-11-22,,1,11,14,19,24,45,48,39
ca_lotto_649,2025-11-19,,1,14,17,28,31,42,48,5
ca_lotto_649,2025-11-15,,1,1,5,8,25,42,47,44
ca_lotto_649,2025-11-12,,1,2,6,7,38,39,41,49
ca_lotto_649,2025-11-08,,1,12,15,16,21,29,47,35
ca_lotto_649,2025-11-05,,1,5,16,17,30,35,46,6
ca_lotto_649,2025-11-01,,1,21,22,27,33,34,44,13
ca_lotto_649,2025-10-29,,1,2,10,27,28,35,45,14
ca_lotto_649,2025-10-25,,1,6,8,19,39,43,49,46
ca_lotto_649,2025-10-22,,1,2,4,7,41,45,46,13
ca_lotto_649,2025-10-18,,1,9,17,21,39,41,48,28
ca_lotto_649,2025-10-15,,1,5,10,17,26,31,32,24
ca_lotto_649,2025-10-11,,1,5,23,25,40,41,43,34
ca_lotto_649,2025-10-08,,1,17,22,24,40,42,46,29
ca_lotto_649,2025-10-04,,1,24,31,37,41,45,46,16
ca_lotto_649,2025-10-01,,1,26,27,30,38,47,48,43
ca_lotto_649,2025-09-27,,1,1,7,15,19,36,40,47
ca_lotto_649,2025-09-24,,1,9,10,12,17,46,49,30
ca_lotto_649,2025-09-20,,1,7,9,19,34,39,44,38
ca_lotto_649,2025-09-17,,1,3,12,23,27,33,45,22
ca_lotto_649,2025-09-13,,1,13,21,23,33,35,45,1
ca_lotto_649,2025-09-10,,1,11,25,30,35,46,49,37
ca_lotto_649,2025-09-06,,1,12,25,26,38,39,41,16
ca_lotto_649,2025-09-03,,1,14,22,24,28,34,35,4
ca_lotto_649,2025-08-30,,1,3,5,6,11,36,38,48
ca_lotto_649,2025-08-27,,1,5,16,17,21,41,47,6
ca_lotto_649,2025-08-23,,1,3,10,12,14,36,41,1
ca_lotto_649,2025-08-20,,1,24,29,31,33,36,37,21
ca_lotto_649,2025-08-16,,1,7,18,23,35,48,49,19
ca_lotto_649,2025-08-13,,1,4,9,11,12,42,49,41
ca_lotto_649,2025-08-09,,1,15,17,21,22,38,45,26
ca_lotto_649,2025-08-06,,1,1,4,5,10,37,46,24
ca_lotto_649,2025-08-02,,1,7,11,23,29,44,46,42
ca_lotto_649,2025-07-30,,1,11,13,15,16,38,48,25
ca_lotto_649,2025-07-26,,1,5,8,13,26,44,49,47
ca_lotto_649,2025-07-23,,1,4,12,19,34,40,42,5
ca_lotto_649,2025-07-19,,1,2,7,22,33,35,44,3
ca_lotto_649,2025-07-16,,1,2,4,9,17,20,46,31
ca_lotto_649,2025-07-12,,1,2,12,25,26,27,36,24
ca_lotto_649,2025-07-09,,1,2,17,18,22,32,37,26
ca_lotto_649,2025-07-05,,1,3,6,15,33,39,42,18
ca_lotto_649,2025-07-02,,1,6,25,27,34,38,49,2
ca_lotto_649,2025-06-28,,1,2,3,14,17,44,48,8
ca_lotto_649,2025-06-25,,1,4,8,15,20,40,49,37
ca_lotto_649,2025-06-21,,1,14,15,17,38,40,49,23
ca_lotto_649,2025-06-18,,1,8,14,20,25,30,38,46
ca_lotto_649,2025-06-14,,1,5,8,20,28,35,38,46
ca_lotto_649,2025-06-11,,1,4,9,23,28,32,39,26
ca_lotto_649,2025-06-07,,1,2,10,12,21,36,41,33
ca_lotto_649,2025-06-04,,1,8,20,30,39,41,48,18
ca_lotto_649,2025-05-31,,1,2,4,11,26,34,37,24
ca_lotto_649,2025-05-28,,1,6,13,28,31,34,48,42
ca_lotto_649,2025-05-24,,1,4,8,18,27,28,31,48
ca_lotto_649,2025-05-21,,1,1,2,37,38,43,46,40
ca_lotto_649,2025-05-17,,1,7,9,20,34,38,46,14
ca_lotto_649,2025-05-14,,1,1,8,17,18,41,48,42
