lottery_id,draw_date,draw_number,round,main_1,main_2,main_3,main_4,main_5,main_6,main_7,bonus_1
ca_lotto_max,2026-07-14,,1,3,17,24,35,37,40,41,31
ca_lotto_max,2026-07-10,,1,15,17,18,21,28,32,46,38
ca_lotto_max,2026-07-07,,1,14,23,25,30,36,38,47,39
ca_lotto_max,2026-07-03,,1,9,18,32,39,41,44,50,15
ca_lotto_max,2026-06-30,,1,6,10,18,23,25,33,42,16
ca_lotto_max,2026-06-26,,1,5,6,16,30,33,43,51,35
ca_lotto_max,2026-06-23,,1,4,17,22,35,47,49,51,2
ca_lotto_max,2026-06-19,,1,5,13,21,33,41,42,51,10
ca_lotto_max,2026-06-16,,1,1,22,25,31,36,37,44,13
ca_lotto_max,2026-06-12,,1,1,12,28,35,41,42,52,20
ca_lotto_max,2026-06-09,,1,6,7,11,12,36,46,50,24
ca_lotto_max,2026-06-05,,1,11,16,27,34,40,47,49,26
ca_lotto_max,2026-06-02,,1,6,7,23,28,34,40,43,52
ca_lotto_max,2026-05-29,,1,3,14,15,40,45,48,49,43
ca_lotto_max,2026-05-26,,1,3,4,5,12,22,32,34,45
ca_lotto_max,2026-05-22,,1,11,22,31,36,42,47,48,44
ca_lotto_max,2026-05-19,,1,5,15,22,24,34,37,49,2
ca_lotto_max,2026-05-15,,1,7,10,18,32,42,43,50,45
ca_lotto_max,2026-05-12,,1,6,12,18,24,32,34,45,51
ca_lotto_max,2026-05-08,,1,2,6,8,33,35,43,44,21
ca_lotto_max,2026-05-05,,1,3,4,9,15,21,26,48,16
ca_lotto_max,2026-05-01,,1,9,13,15,25,27,35,52,39
ca_lotto_max,2026-04-28,,1,9,11,14,17,18,33,41,12
ca_lotto_max,2026-04-24,,1,11,14,26,31,36,39,43,6
ca_lotto_max,2026-04-21,,1,2,12,16,19,24,29,48,10
ca_lotto_max,2026-04-17,,1,7,12,29,38,39,44,52,35
ca_lotto_max,2026-04-14,,1,4,13,20,31,37,43,51,9
ca_lotto_max,2026-04-10,,1,1,11,16,20,28,32,45,50
ca_lotto_max,2026-04-07,,1,3,8,15,19,23,29,37,4
ca_lotto_max,2026-04-03,,1,2,4,6,25,38,44,47,34
ca_lotto_max,2026-03-31,,1,6,11,31,38,40,46,50,37
ca_lotto_max,2026-03-27,,1,5,34,37,38,48,49,50,9
ca_lotto_max,2026-03-24,,1,6,11,32,33,34,39,49,45
ca_lotto_max,2026-03-20,,1,2,14,25,31,36,41,47,13
ca_lotto_max,2026-03-17,,1,7,10,24,25,34,45,49,44
ca_lotto_max,2026-03-13,,1,6,7,23,25,29,30,38,31
ca_lotto_max,2026-03-10,,1,14,16,22,28,33,37,48,47
ca_lotto_max,2026-03-06,,1,3,6,12,21,28,35,41,47
ca_lotto_max,2026-03-03,,1,1,3,4,18,20,23,31,2
ca_lotto_max,2026-02-27,,1,7,9,22,24,34,36,37,19
ca_lotto_max,2026-02-24,,1,6,8,10,25,27,30,31,44
ca_lotto_max,2026-02-20,,1,15,16,29,31,32,45,49,25
ca_lotto_max,2026-02-17,,1,10,11,18,22,28,34,36,45
ca_lotto_max,2026-02-13,,1,3,13,26,36,41,42,43,37
ca_lotto_max,2026-02-10,,1,4,7,17,26,28,30,35,10
ca_lotto_max,2026-02-06,,1,6,23,25,29,40,45,48,33
ca_lotto_max,2026-02-03,,1,4,19,20,31,34,45,48,40
ca_lotto_max,2026-01-30,,1,30,34,38,43,44,46,49,47
ca_lotto_max,2026-01-27,,1,5,9,24,30,36,39,43,21
ca_lotto_max,2026-01-23,,1,3,9,13,16,18,27,29,2
ca_lotto_max,2026-01-20,,1,3,9,15,17,22,31,33,50
ca_lotto_max,2026-01-16,,1,6,9,13,41,43,45,48,34
ca_lotto_max,2026-01-13,,1,14,18,21,22,32,42,46,33
ca_lotto_max,2026-01-09,,1,9,21,26,31,34,36,43,46
ca_lotto_max,2026-01-06,,1,12,21,26,31,37,39,50,3
ca_lotto_max,2026-01-02,,1,5,9,11,22,30,41,43,49
ca_lotto_max,2025-12-30,,1,5,21,32,38,43,44,45,49
ca_lotto_max,2025-12-26,,1,2,6,14,20,43,46,47,19
ca_lotto_max,2025-12-23,,1,3,28,37,38,39,41,43,45
ca_lotto_max,2025-12-19,,1,3,5,20,29,35,38,46,24
ca_lotto_max,2025-12-16,,1,1,6,31,35,37,45,49,11
ca_lotto_max,2025-12-12,,1,4,16,25,28,36,38,41,9
ca_lotto_max,2025-12-09,,1,3,19,20,29,30,34,49,22
ca_lotto_max,2025-12-05,,1,4,15,32,34,40,45,48,7
ca_lotto_max,2025-12-02,,1,7,8,16,21,33,34,37,20
ca_lotto_max,2025-11-28,,1,1,7,12,16,28,47,50,45
ca_lotto_max,2025-11-25,,1,12,15,16,19,21,40,48,4
ca_lotto_max,2025-11-21,,1,7,8,20,30,39,40,47,34
ca_lotto_max,2025-11-18,,1,10,18,21,28,32,38,41,47
ca_lotto_max,2025-11-14,,1,1,7,17,23,27,35,43,4
ca_lotto_max,2025-11-11,,1,1,4,8,18,27,42,50,19
ca_lotto_max,2025-11-07,,1,5,28,31,33,39,40,49,45
ca_lotto_max,2025-11-04,,1,3,4,24,26,28,32,33,45
ca_lotto_max,2025-10-31,,1,12,14,22,29,30,46,48,31
ca_lotto_max,2025-10-28,,1,6,14,17,19,26,43,45,27
ca_lotto_max,2025-10-24,,1,9,16,22,31,36,44,47,40
ca_lotto_max,2025-10-21,,1,1,7,17,18,25,28,45,12
ca_lotto_max,2025-10-17,,1,4,19,20,23,24,43,45,5
ca_lotto_max,2025-10-14,,1,3,9,12,15,28,30,37,1
ca_lotto_max,2025-10-10,,1,4,9,10,16,33,45,50,36
ca_lotto_max,2025-10-07,,1,5,6,16,26,29,37,44,46
ca_lotto_max,2025-10-03,,1,10,17,22,30,36,42,45,33
ca_lotto_max,2025-09-30,,1,14,22,27,31,33,39,50,7
ca_lotto_max,2025-09-26,,1,10,11,21,23,32,36,45,13
ca_lotto_max,2025-09-23,,1,8,9,23,30,38,40,43,41
ca_lotto_max,2025-09-19,,1,3,8,16,26,37,40,44,5
ca_lotto_max,2025-09-16,,1,12,18,25,30,31,38,43,34
ca_lotto_max,2025-09-12,,1,2,3,7,9,13,23,41,42
ca_lotto_max,2025-09-09,,1,2,8,18,25,27,34,42,10
ca_lotto_max,2025-09-05,,1,4,16,20,30,34,46,50,40
ca_lotto_max,2025-09-02,,1,4,14,22,35,37,38,49,45
ca_lotto_max,2025-08-29,,1,3,5,12,18,20,31,34,16
ca_lotto_max,2025-08-26,,1,3,7,14,22,29,33,50,43
ca_lotto_max,2025-08-22,,1,5,8,9,21,22,30,45,16
ca_lotto_max,2025-08-19,,1,7,10,11,17,19,34,45,36
ca_lotto_max,2025-08-15,,1,4,9,19,21,27,41,44,11
ca_lotto_max,2025-08-12,,1,15,16,21,27,28,33,39,10
ca_lotto_max,2025-08-08,,1,7,8,18,28,31,36,41,1
ca_lotto_max,2025-08-05,,1,4,8,12,26,29,33,37,24
ca_lotto_max,2025-08-01,,1,12,21,26,35,39,44,50,18
ca_lotto_max,2025-07-29,,1,10,13,15,17,33,37,46,3
ca_lotto_max,2025-07-25,,1,9,10,22,29,35,37,46,38
ca_lotto_max,2025-07-22,,1,2,3,8,10,42,46,47,20
ca_lotto_max,2025-07-18,,1,9,14,33,40,41,43,44,4
ca_lotto_max,2025-07-15,,1,3,4,7,14,24,41,43,27
ca_lotto_max,2025-07-11,,1,4,5,10,34,36,44,50,23
ca_lotto_max,2025-07-08,,1,7,8,18,27,38,48,50,5
ca_lotto_max,2025-07-04,,1,6,14,23,31,34,35,42,1
ca_lotto_max,2025-07-01,,1,2,5,14,26,33,35,36,10
ca_lotto_max,2025-06-27,,1,8,12,15,27,31,42,47,41
ca_lotto_max,2025-06-24,,1,1,2,7,32,45,46,48,24
ca_lotto_max,2025-06-20,,1,14,17,20,24,42,47,50,25
ca_lotto_max,2025-06-17,,1,2,10,25,36,46,48,50,29
ca_lotto_max,2025-06-13,,1,2,28,34,37,40,46,47,32
ca_lotto_max,2025-06-10,,1,5,9,20,31,37,49,50,29
ca_lotto_max,2025-06-06,,1,2,5,8,9,24,28,32,22
ca_lotto_max,2025-06-03,,1,6,29,39,40,42,44,48,22
ca_lotto_max,2025-05-30,,1,7,9,18,24,25,31,48,14
ca_lotto_max,2025-05-27,,1,5,7,11,18,26,41,46,43
ca_lotto_max,2025-05-23,,1,13,19,23,26,36,39,47,7
